#{"t_start": 1776322726.8924334, "env_id": "None"}
r,l,t
-741.06744,1851,131.609414
81.38307,1962,266.308714
-5876.704,2168,413.723707
-586.44116,2005,551.091772
-5061.3423,1391,647.073774
-9004.111,2173,798.233331
-9107.455,1372,891.736352
1827.0323,2014,1030.337064
-9599.804,1404,1126.975567
-12785.548,2200,1278.238359
-15592.478,2004,1416.455935
-4373.938,2085,1559.239084
-9698.075,2224,1712.61003
1864.2816,1903,1845.082284
-10195.506,1874,1975.637292
-4647.597,2077,2120.465624
-4840.9775,2251,2275.94807
-5228.4365,1657,2391.222354
-2402.8171,518,2428.243422
647.7402,1961,2566.950207
-519.9082,1998,2733.88718
-4887.7153,880,2794.346132
-8317.096,1497,2900.26668
-10938.277,1931,3045.619825
-4420.0884,1880,3177.745741
-2026.5865,1866,3308.257782
-3601.5293,534,3345.769247
-3963.0342,1587,3459.193962
-4886.5527,1263,3551.603544
1130.1532,2074,3702.071931
-10270.345,2364,3873.729614
-4046.7397,2183,4031.630919
1205.3055,1972,4175.744168
-13791.834,2463,4355.221055
-12999.819,1816,4486.983089
6394.4673,1950,4626.370169
-15331.391,2512,4804.310984
3444.6084,1870,4936.265993
-10348.855,2377,5102.448615
-5672.994,1214,5188.189232
-1846.1805,542,5255.32991
-11099.876,1962,5393.7896
-3495.4307,1767,5517.381975
-2435.0903,421,5546.886053
-7134.034,2200,5701.185361
-906.22375,1994,5842.487922
-5648.5835,2277,6001.718983
-8128.208,2196,6155.456709
-7893.4023,1558,6265.030862
-6707.53,1823,6393.816005
-4342.7925,2204,6549.287014
-12307.938,1603,6662.355216
-5635.3267,2237,6821.202306
-5847.4624,2101,6973.612477
2360.8704,1936,7116.581693
-11588.926,2222,7277.906481
-4733.042,1923,7401.989309
-6497.7676,1810,7518.729098
-6587.5913,2297,7667.389979
4998.122,1951,7793.032541
7111.808,1863,7937.834953
-8178.636,2221,8079.939779
-10746.698,1497,8176.187122
-6267.9634,1173,8251.682949
3207.585,1992,8379.131595
-5711.5674,1734,8489.333495
-2425.2214,710,8535.034761
-5471.9966,2298,8681.149815
-2747.0151,1145,8754.35304
-6620.7925,1184,8829.998404
-4790.8394,2166,8968.689566
1291.7147,1905,9091.488578
