window_id,start_episode,end_episode,count,success_count,success_rate,avg_reward
1,1,20,20,6,0.3,-2877.6143432617187
2,21,40,20,3,0.15,-4376.243669128418
3,41,60,20,5,0.25,-4818.55200805664
4,61,80,20,4,0.2,-3934.5715911865236
5,81,100,20,4,0.2,-5060.207106399536
6,101,120,20,1,0.05,-5210.313928222657
7,121,140,20,5,0.25,-3399.1953857421877
8,141,160,20,5,0.25,-4723.691369628907
9,161,180,20,4,0.2,-3800.068212890625
10,181,200,20,9,0.45,-2566.6572174072267
11,201,220,20,3,0.15,-5246.706958007812
12,221,240,20,8,0.4,-2669.695259857178
13,241,260,20,7,0.35,-3456.4611335754394
14,261,280,20,8,0.4,-3006.031201171875
15,281,300,20,8,0.4,-3725.9408996582033
16,301,320,20,8,0.4,-2345.8341857910154
17,321,340,20,9,0.45,-3090.8004945755006
18,341,360,20,6,0.3,-3693.382440185547
19,361,380,20,12,0.6,-2432.3841175079347
20,381,400,20,7,0.35,-2731.3819374084474
21,401,420,20,9,0.45,-1540.4164978027343
22,421,440,20,11,0.55,-838.8176223754883
23,441,460,20,11,0.55,-1838.1334091186523
24,461,480,20,10,0.5,-2128.868958282471
25,481,500,20,11,0.55,-2409.4134155273437
26,501,520,20,12,0.6,-1260.0689788818358
27,521,540,20,9,0.45,-2136.679620361328
28,541,560,20,10,0.5,-1699.0167472839355
29,561,580,20,14,0.7,-1530.196327972412
30,581,600,20,11,0.55,-1101.7522430419922
31,601,620,20,10,0.5,-2739.8896148681642
32,621,640,20,10,0.5,-2356.848062133789
33,641,660,20,14,0.7,-189.7220474243164
34,661,680,20,11,0.55,-943.4206062316895
35,681,700,20,13,0.65,-166.88461837768554
36,701,720,20,11,0.55,-1138.5944274902345
37,721,740,20,9,0.45,-2165.8513519287108
38,741,760,20,11,0.55,-1776.447073364258
39,761,780,20,13,0.65,-737.3583251953125
40,781,800,20,13,0.65,-732.9738464355469
41,801,820,20,11,0.55,-1989.8728912353515
42,821,840,20,12,0.6,-1356.741781616211
43,841,860,20,12,0.6,-1230.6022996902466
44,861,880,20,13,0.65,-417.59571533203126
45,881,900,20,14,0.7,-893.9693756103516
46,901,920,20,12,0.6,-1372.7375839233398
47,921,940,20,14,0.7,393.72709941864014
48,941,960,20,10,0.5,-1248.6968223571778
49,961,980,20,14,0.7,-468.031604385376
50,981,1000,20,14,0.7,-886.5220260620117
51,1001,1020,20,11,0.55,-1373.1339904785157
52,1021,1040,20,13,0.65,-339.947314453125
53,1041,1060,20,10,0.5,-2514.363967895508
54,1061,1080,20,16,0.8,408.2440124511719
55,1081,1100,20,13,0.65,358.394953918457
56,1101,1120,20,15,0.75,479.6771240234375
57,1121,1140,20,14,0.7,-185.72850341796874
58,1141,1160,20,11,0.55,-1709.8797668457032
59,1161,1180,20,11,0.55,-1419.6935571670533
60,1181,1200,20,9,0.45,-1425.3759368896485
61,1201,1220,20,16,0.8,-145.01260375976562
62,1221,1240,20,10,0.5,-2063.082586669922
63,1241,1260,20,12,0.6,-1203.9064239501954
64,1261,1280,20,13,0.65,-246.28046569824218
65,1281,1300,20,12,0.6,-1033.9385864257813
66,1301,1320,20,12,0.6,-609.613070678711
67,1321,1340,20,11,0.55,-490.0430992126465
68,1341,1353,13,8,0.6153846153846154,-57.21371225210336
