#{"t_start": 1776441830.3459666, "env_id": "None"}
r,l,t
-5699.956,1037,13.928516
-5574.5195,2166,43.506963
-1275.9508,1948,68.257208
-7583.4463,1234,83.892273
-3466.4949,1199,99.175458
-8849.564,1617,119.487273
-2298.6702,2018,144.32906
-6692.357,2006,170.328993
-7799.986,1423,188.767488
359.89706,1842,212.324541
-6955.836,2196,241.113228
-5061.7563,1990,266.500875
-4940.687,1019,280.78752
-8099.1787,2081,309.666404
-2051.2053,389,314.602721
-10689.529,2351,344.022812
-3362.4749,1329,360.721479
-8583.674,2112,387.144583
-4211.541,1205,402.249162
-5494.5044,1621,422.575068
-950.6716,1991,447.356739
6950.906,1880,471.500885
-4257.595,1482,491.582079
3411.7314,1854,516.155185
-2168.0874,576,523.577031
-8344.466,2160,551.139733
-2111.1323,788,561.342128
-5280.963,2041,587.324823
-6435.6665,2218,616.552801
-5490.7173,921,628.617313
-15138.873,2222,656.984894
-2885.663,1919,682.273778
-6551.17,1596,703.215598
-7560.3887,1971,732.51308
-10024.829,1838,757.73682
-8673.916,2197,787.345786
-4560.029,1345,807.358349
-2030.747,660,816.956632
-157.54956,1806,840.688485
-7560.051,1998,866.976604
-2161.5005,2133,896.418708
-1552.3892,1855,921.195471
-3838.9539,702,930.608333
-10173.705,1745,953.820495
-3327.4653,1946,979.783122
-4853.9155,2027,1006.021918
-6962.2705,2019,1032.553628
-6786.6763,2032,1058.44385
-3688.1086,2084,1085.209729
3919.7563,1937,1110.376055
-2016.0469,453,1116.169575
-3339.8237,1526,1135.805738
-6242.003,1641,1156.842558
-15326.795,2156,1183.818076
-10014.546,2032,1210.485754
758.14514,1900,1235.443654
2653.412,1745,1258.329403
-1880.7172,2054,1284.79425
-13172.011,2046,1311.385901
-4492.3135,2057,1337.796903
-1680.6378,2186,1365.575605
-8587.508,1999,1391.252
-5242.79,2175,1419.191226
-10728.791,2042,1445.650631
5727.411,1984,1472.107969
2420.5186,1897,1496.810311
-995.974,1967,1522.046767
1471.4545,1830,1545.654828
-7592.0825,2048,1572.395841
-3108.7874,1965,1597.80461
-11858.276,2125,1625.678762
-7088.759,1960,1651.117537
-2659.2717,1133,1665.891947
-6537.78,2062,1692.017049
-9188.179,2083,1718.195435
-5133.964,1102,1732.133669
-2236.6948,565,1739.275164
-6526.0093,1105,1753.286756
-9408.976,2135,1780.174489
-3209.0278,638,1788.475298
-8572.3955,2212,1817.583399
-6576.612,1432,1835.621237
-8805.79,2094,1862.471522
815.3897,1930,1887.693577
-6590.431,2123,1915.720167
-4062.2786,2043,1941.622369
-7216.9263,873,1953.114673
1570.9122,1986,1976.67608
-11760.636,2229,2003.091247
-8415.618,1628,2022.150836
3041.069,1738,2042.7529
-2773.6392,572,2049.623525
-11011.907,2122,2075.955487
3241.7437,1931,2100.771679
-3841.708,998,2113.472027
-5690.9033,1443,2131.758526
-8932.322,1492,2151.091892
-5862.845,2174,2179.195645
-6630.426,2338,2209.208865
-4387.8716,724,2218.749284
